"ProjectName","Total.contributing.area.to.outlet..ha.","Precipitation..m.3.yr.","Precipitation.per.area..mm.yr.","Water.discharge..m.3.yr.","Water.discharge.per.area..mm.yr.","Total.hillslope.soil.loss..tonne.yr.","Total.hillslope.soil.loss.per.area..kg.ha.yr.","Total.channel.soil.loss..tonne.yr.","Total.channel.soil.loss.per.area..kg.ha.yr.","Sediment.discharge..tonne.yr.","Sediment.discharge.per.area..kg.ha.yr.","Sediment.delivery.ratio.for.watershed","Phosphorus.discharge..kg.yr.","Phosphorus.discharge.per.area..kg.ha.yr.","Watershed","Scenario"
"portland_LittleSandy_PrescFireS.202009.chn_cs110",5739.2,166962930,2909.16730554781,118067011,2057.20328617229,2307.4,402.042096459437,1053.7,183.597017005854,1916,333.844438249233,0.57,2443.8,0.425808475048787,"LittleSandy","PrescFireS_202009"
"portland_SouthFork_PrescFireS.202009.chn_cs160",3840.28,118266464,3079.63127688606,90884962,2366.62331913298,2094.3,545.350859833137,387.5,100.904100742654,1164.9,303.337256658369,0.469,1567.5,0.408173362358995,"SouthFork","PrescFireS_202009"
"portland_CedarCreek_LowSevS.202009.chn_cs150",1927.9,59256100,3073.60858965714,48466599,2513.95814098242,4412.2,2288.60418071477,84.6,43.8819440842367,717.4,372.114736241506,0.16,923.7,0.479122361118315,"CedarCreek","LowSevS_202009"
"portland_BlazedAlder_LowSevS.202009.chn_cs50",1800.13,53649291,2980.30092271114,45181346,2509.89350769111,2201.5,1222.96723014449,2105.4,1169.58219684134,3261.3,1811.70248815363,0.757,3450.7,1.91691711154194,"BlazedAlder","LowSevS_202009"
"portland_FirCreek_LowSevS.202009.chn_cs150",1344.48,43230995,3215.44351719624,32748587,2435.78089670356,4734.3,3521.28704034273,1972,1466.738069737,5412.7,4025.86873735571,0.807,5552.3,4.12970070213019,"FirCreek","LowSevS_202009"
"portland_BRnearMultnoma_LowSevS.202009.chn_cs200",11881.78,327557402,2756.80413204082,291970511,2457.29605328495,58392.1,4914.4235964645,47725.5,4016.69615158671,11532.5,970.603731090796,0.109,12754.2,1.07342502554331,"BRnearMultnoma","LowSevS_202009"
"portland_NorthFork_LowSevS.202009.chn_cs140",2022.25,60643198,2998.79826925454,48503578,2398.49563604896,2273.1,1124.04499938188,1968.7,973.519594511064,3400,1681.29558659909,0.802,3623.3,1.79171714674249,"NorthFork","LowSevS_202009"
"portland_LittleSandy_LowSevS.202009.chn_cs110",5739.2,166962930,2909.16730554781,120567658,2100.77463758015,5951.5,1036.99121828826,1905.6,332.032339001952,3170.3,552.394061890159,0.403,3714.1,0.647145943685531,"LittleSandy","LowSevS_202009"
"portland_SouthFork_LowSevS.202009.chn_cs160",3840.28,118266464,3079.63127688606,92554703,2410.10298728218,5221.5,1359.66648265231,449.1,116.944597789744,1812.5,471.970793796286,0.32,2226.1,0.579671273969606,"SouthFork","LowSevS_202009"
"portland_CedarCreek_ModSevS.202009.chn_cs150",1927.9,59256100,3073.60858965714,49643998,2575.02972145858,26724.6,13862.026038695,391.4,203.018828777426,3191.5,1655.42818610924,0.118,3400,1.76357694901188,"CedarCreek","ModSevS_202009"
