"ProjectName","Scenario","Watershed","Total.contributing.area.to.outlet..ha.","Precipitation..m.3.yr.","Precipitation.per.area..mm.yr.","Stream.discharge..m.3.yr.","Stream.discharge.per.area..mm.yr.","Total.hillslope.soil.loss..tonne.yr.","Total.hillslope.soil.loss.per.area..kg.ha.yr.","Total.channel.soil.loss..tonne.yr.","Total.channel.soil.loss.per.area..kg.ha.yr.","Sediment.discharge..tonne.yr.","Sediment.discharge.per.area..kg.ha.yr.","Sediment.delivery.ratio.for.watershed","Phosphorus.discharge..kg.yr.","Phosphorus.discharge.per.area..kg.ha.yr.","Particle.Fraction.Under.0.016.mm","Sediment.Yield.of.Particles.Under.0.016.mm..tonne.yr.","Sediment.Yield.of.Particles.Under.0.016.mm.per.area..kg.ha.yr."
"lt_202010_19_Incline_Creek_CurCond","CurCond","19_Incline_Creek",1575.57,14618095,927.797241633187,8330440,528.725477128912,18.7,11.8687205265396,467.7,296.84495135094,480.1,304.715118972816,0.987,581.9,0.369326656384673,0.1859,89.25059,56.6465406170465
"lt_202010_19_Incline_Creek_HighSev","HighSev","19_Incline_Creek",1575.57,14618095,927.797241633187,10796882,685.268315593722,4521.2,2869.56466548614,600.1,380.878031442589,4875,3094.11831908452,0.952,5414.1,3.43628020335498,0.1313,640.0875,406.257735295798
"lt_202010_19_Incline_Creek_LowSev","LowSev","19_Incline_Creek",1575.57,14618095,927.797241633187,9609998,609.937863757243,98.3,62.3901191314889,529.5,336.068851272873,607.7,385.701682565675,0.968,714.6,0.453550143757497,0.1814,110.23678,69.9662852174134
"lt_202010_19_Incline_Creek_ModSev","ModSev","19_Incline_Creek",1575.57,14618095,927.797241633187,10135205,643.27227606517,850.8,539.995049410689,559,354.792233921692,1352.8,858.609899909239,0.96,1536.6,0.975266094175441,0.1551,209.81928,133.170395475923
"lt_202010_19_Incline_Creek_PrescFire","PrescFire","19_Incline_Creek",1575.57,14618095,927.797241633187,9164511,581.663207601059,59.3,37.6371725788128,505.7,320.963206966368,547.7,347.620226330788,0.969,646.4,0.410264221837176,0.1854,101.54358,64.4487899617282
"lt_202010_19_Incline_Creek_SimFire.fccsFuels_obs_cli","SimFire_fccsFuels_obs_cli","19_Incline_Creek",1575.57,14618095,927.797241633187,9921992,629.739840184822,297,188.503208362688,544.6,345.652684425319,813.3,516.194139263886,0.966,954.1,0.605558623228419,0.1729,140.61957,89.2499666787258
"lt_202010_19_Incline_Creek_SimFire.landisFuels_fut_cli_A2","SimFire_landisFuels_fut_cli_A2","19_Incline_Creek",1575.57,16061618,1019.41633821411,10462890,664.070146042385,765,485.538566994802,527.4,334.736000304652,1298.1,823.892305641768,1.004,1479.1,0.938771365283675,0.1611,209.12391,132.729050438889
"lt_202010_19_Incline_Creek_SimFire.landisFuels_obs_cli","SimFire_landisFuels_obs_cli","19_Incline_Creek",1575.57,14618095,927.797241633187,9937314,630.712313638874,137.5,87.2700038716147,545,345.906560800218,668.4,424.227422456635,0.979,783,0.496963003865268,0.1772,118.44048,75.1730992593157
"lt_202010_19_Incline_Creek_Thinn85","Thinn85","19_Incline_Creek",1575.57,14618095,927.797241633187,9386931,595.780003427331,34.1,21.6429609601605,518.4,329.023781869419,540.6,343.113920676327,0.978,639.6,0.405948323463889,0.1855,100.2813,63.6476322854586
"lt_202010_19_Incline_Creek_Thinn93","Thinn93","19_Incline_Creek",1575.57,14618095,927.797241633187,9384708,595.638911631981,30.6,19.4215426797921,518.3,328.960312775694,537,340.829033302233,0.978,635.7,0.403473028808622,0.1852,99.4524,63.1215369675736
"lt_202010_19_Incline_Creek_Thinn96","Thinn96","19_Incline_Creek",1575.57,14618095,927.797241633187,9383818,595.582424138566,29.4,18.6599135550943,518.3,328.960312775694,535.4,339.813527802637,0.978,633.9,0.402330585121575,0.1852,99.15608,62.9334653490483
"lt_202010_1_Unnamed_Creek_at_Tahoe_City_State_Park_CurCond","CurCond","1_Unnamed_Creek_at_Tahoe_City_State_Park",268.53,2886166,1074.80207053216,1172336,436.575429188545,0,0,18.3,68.1488101888057,18.3,68.1488101888057,0.999,25.6,0.0953338546903512,0.1918,3.50994,13.0709417942129
